gender,age,home,income,motivation,workday,wkendday,hobby
남자,30,인천광역시,300만원 이상 500만원 미만,건강 관리를 위해,1,3,조깅
여자,60,충청도,300만원 이상 500만원 미만,건강 관리를 위해,2,1,조깅
남자,40,인천광역시,700만원 이상,스트레스 해소를 위해,2,6,조깅
남자,50,광주광역시,300만원 미만,건강 관리를 위해,2,3,조깅
남자,30,부산광역시,500만원 이상 700만원 미만,건강 관리를 위해,2,0,조깅
남자,40,전라도,300만원 미만,가족-지인 등과 시간을 보내기 위해,3,6,조깅
남자,50,대구광역시,300만원 이상 500만원 미만,자기만족-즐거움을 위해,2,8,조깅
여자,30,인천광역시,500만원 이상 700만원 미만,대인 관계-교제를 위해,3,5,조깅
여자,50,경기도,700만원 이상,건강 관리를 위해,2,2,조깅
여자,60,광주광역시,300만원 미만,건강 관리를 위해,1,0,조깅
남자,60,서울특별시,300만원 이상 500만원 미만,대인 관계-교제를 위해,4,12,조깅
여자,50,충청도,300만원 이상 500만원 미만,건강 관리를 위해,1,2,조깅
여자,60,대전광역시,300만원 미만,자기만족-즐거움을 위해,2,3,조깅
여자,50,경기도,500만원 이상 700만원 미만,스트레스 해소를 위해,1,1,조깅
남자,50,제주특별자치도,300만원 미만,자기만족-즐거움을 위해,4,8,조깅
여자,50,경기도,700만원 이상,건강 관리를 위해,3,5,조깅
남자,60,부산광역시,300만원 이상 500만원 미만,자기 계발을 위해,2,4,조깅
여자,60,경기도,300만원 미만,마음의 안정-휴식을 위해,2,3,조깅
여자,60,경기도,300만원 이상 500만원 미만,스트레스 해소를 위해,2,2,조깅
남자,20,광주광역시,700만원 이상,남는 시간을 보내기 위해,2,5,조깅
남자,20,대전광역시,300만원 미만,스트레스 해소를 위해,1,2,조깅
남자,60,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,2,10,조깅
여자,60,서울특별시,700만원 이상,자기 계발을 위해,7,9,조깅
여자,30,서울특별시,무응답,마음의 안정-휴식을 위해,2,4,조깅
남자,60,경상도,300만원 미만,건강 관리를 위해,2,10,조깅
남자,30,세종특별자치시,700만원 이상,마음의 안정-휴식을 위해,1,4,조깅
여자,50,경기도,700만원 이상,건강 관리를 위해,5,6,조깅
남자,60,부산광역시,300만원 이상 500만원 미만,자기만족-즐거움을 위해,6,7,조깅
여자,50,서울특별시,300만원 미만,마음의 안정-휴식을 위해,1,10,조깅
여자,30,경기도,300만원 미만,스트레스 해소를 위해,0,2,조깅
남자,50,울산광역시,500만원 이상 700만원 미만,자기만족-즐거움을 위해,6,15,조깅
남자,50,경기도,500만원 이상 700만원 미만,기타,1,1,조깅
남자,50,경상도,700만원 이상,가족-지인 등과 시간을 보내기 위해,1,6,조깅
여자,50,서울특별시,300만원 미만,건강 관리를 위해,2,2,조깅
남자,50,경상도,500만원 이상 700만원 미만,건강 관리를 위해,2,4,조깅
